"week_ending","location","region","avg_price_nonorg","total_nonorg_units","total_nonorg_bag_units","total_org_units","total_org_bag_units","plu4046","plu4225","plu4770","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","plu94046","plu94225","plu94770","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2017-01-15,"New Orleans/Mobile","South Central",1.01,291083.26,83866.68,3873.46,3760.39,171326.01,35657.65,232.92,60508.85,16912.83,6445,1.3,101.17,11.9,0,2775.42,984.97,0,NA,NA
2017-01-15,"New York","Northeast",1.38,1384264.04,315858.98,42233.25,17919.08,14301.61,995747.96,58355.49,275101.56,38860.92,1896.5,2.09,6002.05,18195.1,117.02,17791.92,127.16,0,NA,NA
2017-01-15,"Northern New England","Northeast",1.25,421262.96,71246.73,10857.24,10659.3,13397.71,330248.49,6370.03,71246.73,0,0,1.77,0,197.94,0,10659.3,0,0,NA,NA
2017-01-15,"Orlando","Southeast",1.27,356960.5,136036.6,7323.72,6672.27,148500.59,72248.12,175.19,69128.81,66907.79,0,1.26,539.1,112.35,0,3426.67,3245.6,0,NA,NA
2017-01-15,"Philadelphia","Northeast",1.44,435740.48,127670.19,11538.53,6386.35,16847.12,282239.77,8983.4,118443.27,9006.12,220.8,2,1218.57,3918.11,15.5,6361.46,24.89,0,NA,NA
2017-01-15,"Phoenix/Tucson","West",0.6,1470187.14,404309.23,11582.83,5450.79,689503.99,362435.36,13938.56,136614.13,267595.1,100,1.49,3008.72,3123.32,0,5443.7,7.09,0,NA,NA
2017-01-15,"Pittsburgh","Northeast",1.08,168143.15,42252.56,7911.58,6951.29,74537.1,47948.29,3405.2,29876.42,12376.14,0,1.47,935.06,25.23,0,6577.57,373.72,0,NA,NA
2017-01-15,"Portland","West",0.85,758125.51,443550.56,42695.84,34521.25,109638.8,187142.02,17794.13,415774.16,27321.98,454.42,0.98,3851.49,4314.91,8.19,310.38,34210.87,0,NA,NA
2017-01-15,"Raleigh/Greensboro","Midsouth",1.27,277248.48,83025.59,10210.4,4009.2,73384.69,111891.62,8946.58,80590.42,2435.17,0,1.62,185.33,5492.56,523.31,3842,167.2,0,NA,NA
2017-01-15,"Richmond/Norfolk","Midsouth",1.15,261313.02,71189.21,6047,2491.64,96322.65,89916.17,3884.99,69981.57,1164.58,43.06,1.56,434.68,2923.44,197.24,2491.64,0,0,NA,NA
2017-01-15,"Roanoke","Midsouth",1.06,158063.43,63824.21,5398.97,2091.46,50449.58,43695.52,94.12,63041.06,780.93,2.22,1.6,194.17,3113.34,0,2091.46,0,0,NA,NA
2017-01-15,"Sacramento","California",1.2,469431.68,45397.1,5267.55,272.06,147645.88,275717.97,670.73,42762.25,2404.85,230,2.31,1502.96,3492.53,0,265.39,6.67,0,NA,NA
2017-01-15,"San Diego","California",0.87,580190.82,192121.19,11578.42,1411.56,156924.39,216675.95,14469.29,168153.59,23244.82,722.78,1.82,2529.2,7637.66,0,993.41,418.15,0,NA,NA
2017-01-15,"San Francisco","California",1.23,848267.19,67665.63,17202.67,2850.74,211588.95,566260.12,2752.49,60288.11,5710.02,1667.5,2.7,5875.7,8476.23,0,2841.2,9.54,0,NA,NA
2017-01-15,"Seattle","West",0.93,755537.27,453271.7,48313.72,36351.75,88731,212640.4,894.17,442607.26,10132.02,532.42,1.25,447.27,11513.38,1.32,690.75,35661,0,NA,NA
