"week_ending","avg_price_nonorg","total_nonorg_units","plu4046","plu4225","plu4770","total_nonorg_bag_units","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","total_org_units","plu94046","plu94225","plu94770","total_org_bag_units","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2018-02-18,1.08,36709887.49,13262751.42,10491918.44,552969.73,12402247.9,9023351.68,3151157.42,227738.8,1.52,1814929.97,246515.35,680037.45,1905.46,886241.96,783017.98,103184.01,39.97,NA,NA
2018-02-25,1.06,40021528.76,13829857.87,10415463.59,724330.16,15051877.14,10666942.78,4081397.72,303536.64,1.57,1459852.55,122912.97,340374.83,1063.32,994471.5,765056.82,229158.56,256.12,NA,NA
2018-03-04,1.07,40741214.05,14439547.46,11289307.37,571747.72,14440611.5,10832907.44,3339214.96,268489.1,1.52,1634430.77,142345.03,390129.5,1225.97,1099871.68,831885.5,267818.31,167.87,NA,NA
2018-03-11,1.09,40449603.12,14089091.05,10758039.45,707578.82,14894893.8,11392828.89,3229556.62,272508.29,1.52,1664234.88,129169.72,408763.5,1401.87,1124621.5,944572.5,180049,0,NA,NA
2018-03-18,1.05,41386314.12,13707389.51,11061051.69,645380.85,15972492.07,11712807.19,3988101.74,271583.14,1.54,1675804.22,170801.85,444949.69,1045.38,1058651.5,837351.85,221129.46,170.19,NA,NA
2018-03-25,1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53,1.55,1559967.2,121007.94,342853.1,1070.24,1093861.09,902774.79,190941.84,144.46,NA,NA
2018-04-01,1.1,41109688.72,13467728.25,10744041.46,732443.87,16165475.14,11826774.74,4055704.74,282995.66,1.55,1634205.97,142018.15,385226.8,1519.38,1104466.74,943423.21,161037.33,6.2,NA,NA
2018-04-08,1.04,42964067.68,13410251.75,13040703.22,737515.63,15775597.08,10948345.06,4555612.68,271639.34,1.55,1565215.63,133437.34,331037.4,1687.45,1098382.19,945843.86,152538.33,0,NA,NA
2018-04-15,1.03,47098677.68,15307339.31,13807126.47,894946.43,17089265.47,12283244.61,4522004.01,284016.85,1.51,1684002.95,133729.75,343301.42,1630,1205016.85,991437.42,213457.25,122.18,NA,NA
2018-04-22,1.04,44313979.3,14522577.86,12709402.97,722558.85,16359439.62,11850825.63,4207588.22,301025.77,1.5,1762657.39,172008.18,414972.24,1099.32,1174508.94,910246.88,264137.24,124.82,NA,NA
2018-04-29,1.07,43856758.99,14254036.95,13240108.54,744030.09,15618583.41,11122006.81,4208203.84,288372.76,1.55,1682802.87,153751.17,352293.2,1820.38,1174781.76,879278.5,295503.26,0,NA,NA
2018-05-06,0.89,63716144.15,21137400.46,19900871.87,1052499.15,21625372.67,15436246.72,5840414.83,348711.12,1.55,1553505.77,140895.91,311885.58,1342.74,1099216.41,862135.42,237043,37.99,NA,NA
2018-05-13,1,46371245.84,15432480.06,12367251.74,759855.73,17811658.31,13110016.21,4432536.78,269105.32,1.53,1628313.11,155886.88,358982.72,1957.66,1111090.67,873501.09,237527.59,61.99,NA,NA
2018-05-20,1.02,44458798.3,15391298.2,12092088.69,736111.95,16239299.46,11427676.19,4549192.2,262431.07,1.51,1673877.4,136748.96,339512.94,2332.58,1182749.59,958819.25,223892.64,37.7,NA,NA
2018-05-27,1.03,47105314.28,15644843.58,13548819.31,793658.51,17117992.88,11620663.52,5229855.39,267473.97,1.42,2109541.63,181149.41,348179.71,2397.78,1373723.99,1054811.41,318779.77,132.81,NA,NA
2018-06-03,1.07,44705039.05,15241658.25,12611264.58,828737.97,16023378.25,11035193.03,4684090.46,304094.76,1.45,2114576.9,209631.96,394164.19,2382.74,1311045.39,1007876.31,302990.28,178.8,NA,NA
2018-06-10,1.03,45613372.42,15949807.24,13691955.59,753786.21,15217823.38,11228599.99,3724800.5,264422.89,1.52,1739840.46,148182.01,286902.54,2235.23,1182638.47,943013.17,239619.27,6.03,NA,NA
2018-06-17,1.09,44009084.78,14909830.72,12904472.84,782043.1,15412738.12,11486168.32,3707918.88,218650.92,1.41,2009887.76,200044.08,366668.23,2194.76,1159167.88,932509.19,226433.79,224.9,NA,NA
2018-06-24,1.04,44742749.88,14643774.28,12717017.35,1110724,16271234.25,11708299.17,4262204.76,300730.32,1.5,1633962.12,163841.3,289770.82,2323.17,1071575.45,882715.58,188246.12,613.75,NA,NA
2018-07-01,1.05,45572739.17,14978439.61,12542937.62,969238.95,17082122.99,11945298.31,4934540.62,202284.06,1.56,1577022.49,151294.41,317193.63,2514.2,1100184.86,850168.07,249775.02,241.77,NA,NA
2018-07-08,1.03,47848189.79,14624443.74,14184132.58,1169255.61,17870357.86,12817172.9,4735852.45,317332.51,1.57,1589877.42,153518.59,341813.38,1115.9,1092704.92,805225.83,287408.34,70.75,NA,NA
2018-07-15,1.07,43126773.22,13457479.92,12125207.59,908599.1,16635486.61,11924570.43,4460656.29,250259.89,1.58,1568944.98,155018.27,349923.01,1277.1,1062513.79,850384.88,212101.67,27.24,NA,NA
2018-07-22,1.1,41906916.84,12371332.55,12486290.58,1075361.84,15973931.87,10179551.8,5511074.54,283305.53,1.57,1512027.8,107255.32,300674.54,2224.46,1101682.26,871091.43,230584.77,6.06,NA,NA
2018-07-29,1.12,40512782.19,11801092.77,12818314.9,622037.56,15271336.96,10400081.31,4639008.8,232246.85,1.59,1450807.92,119851.15,323668.09,2166.07,1004974.7,758763.61,246156.48,54.61,NA,NA
2018-08-05,1.15,39427666.54,12286513.46,11712660.59,715531.93,14712960.56,10184575.88,4256128.49,272256.19,1.55,1537041.22,118782.5,302662.98,2121.03,1113399.18,877547.7,235831.77,19.71,NA,NA
2018-08-12,1.12,40901950.01,12048457.63,12657830.87,881278.72,15314382.79,10707557.83,4270142.34,336682.62,1.64,1387186.89,143014.46,300616.1,2028.02,941458.73,728207.97,213199.11,51.65,NA,NA
2018-08-19,1.13,40735732.68,12009246.19,11634725.16,1116318.45,15975442.88,11055173.29,4500204.69,420064.9,1.64,1401564.09,152939.89,297706.16,1745.31,948992.75,759918.27,189013.68,60.8,NA,NA
2018-08-26,1.22,36867974.58,11171123.21,11286479.97,699010.18,13711361.22,9484135.03,3930111.9,297114.29,1.65,1444798.3,166581.33,311652.3,1248.17,965140.2,830395.38,134548.43,196.39,NA,NA
2018-09-02,1.29,36169161.57,10916802.88,10880826.3,777527.98,13594004.41,9783860.21,3485418.35,324725.85,1.71,1556510.73,184937.59,304181.81,1242.46,1066108.68,852155.51,213468.55,484.62,NA,NA
2018-09-09,1.24,37484253.75,11028194.47,11898526.09,859246.52,13698286.67,9876854.43,3505978.13,315454.11,1.7,1517213.66,161144.72,278782.12,1961.65,1075193.22,894931.88,180220.19,41.15,NA,NA
2018-09-16,1.22,35609955.39,11598586.86,9716277.38,743851.12,13551240.03,9562607.7,3684646.74,303985.59,1.7,1449050.99,149479.52,268279.7,1517.62,1029631.66,856569.46,173053.04,9.16,NA,NA
2018-09-23,1.19,34866282.28,10635595.44,10368078.03,644554.31,13218054.5,9638333.84,3294142.37,285578.29,1.68,1439915.54,138270.98,268164.05,962.57,1032427.98,837568.14,194683.59,176.25,NA,NA
2018-09-30,1.1,37588534.16,11693993.09,10028231.18,659678.66,15206631.23,11080362.15,3869002.42,257266.66,1.67,1519326.55,127827.48,253467.17,772.71,1137180.28,911878.04,225186.05,116.19,NA,NA
2018-10-07,1.08,38061759.66,11931876.96,10220788.39,794611.3,15114483.01,11085671.5,3792435.33,236376.18,1.63,1561631.06,121600.32,269683,861.6,1169439.48,947582.76,221832.12,24.6,NA,NA
2018-10-14,1.08,36869560.39,11397965.02,10293294.29,599007.52,14579293.56,10460714.07,3928694.16,189885.33,1.57,1540282.85,123311.87,232505.14,643.46,1183773.02,980781.24,202965.68,26.1,NA,NA
2018-10-21,1.13,34002534.69,10104600.64,9817026.08,530698.97,13550209,9914169.64,3463120.27,172919.09,1.52,1498750.04,113379.25,230647.41,623.33,1154060.37,956894.57,197108.91,56.89,NA,NA
2018-10-28,1.01,39402226.58,12142265.3,10845124.43,549490.79,15865346.06,11437562.67,4320344.5,107438.89,1.5,1491232.38,120534.75,246729.25,511.89,1123404.15,920742.85,202601.2,60.1,NA,NA
2018-11-04,1.01,38363282.73,12420772.32,10192035.49,528277.9,15222197.02,10602848.85,4538743.36,80604.81,1.5,1436243.31,133539.46,257419.27,539.39,1044632.76,877016.53,167588.52,27.71,NA,NA
2018-11-11,1,39042283.34,13355863.68,10385141.1,603032.8,14698245.76,10721367.16,3865596.48,111282.12,1.49,1534804.73,147086.46,251477.54,559.52,1135599.27,986753.99,148800.45,44.83,NA,NA
2018-11-18,1.14,29871135.02,9719228.92,7271528.37,497404.35,12382973.38,9174635.04,3103022.56,105315.78,1.54,1652276.32,212734.08,323987.85,625.41,1114928.98,957528.55,157392.69,7.74,NA,NA
2018-11-25,1.25,21855493.69,7140335.3,6021450.19,402865.82,8290842.38,6016142.82,2183010.88,91688.68,1.66,1160387.64,140817.14,232897.58,449.83,786164.96,612004.35,174132.66,27.95,NA,NA
2018-12-02,1.22,27652425.62,9516477.21,7462865.75,521910.02,10151172.64,7174281.4,2895343.32,81547.92,1.58,1242754.19,118442.29,230167.57,748.83,893381.79,698557.18,194824.61,0,NA,NA
2019-01-07,1.02,44749707.48,14377053.08,11890232.9,893721.1,17588700.4,12829493.4,4617813.55,141393.45,1.47,1706136.92,144293.54,286237.67,4849.65,1270752.28,1039378.52,231335.78,37.98,NA,NA
2019-01-13,0.97,48088440.48,15500568.59,13443606.86,741410.17,18402854.86,12137097.88,6130317.9,135439.08,1.48,1618207,143351.55,251981.54,4046.99,1218814.15,1062864.59,155905.58,43.98,NA,NA
2019-01-20,0.99,47145264.29,13843021.42,13453612.06,1328746.49,18519884.32,12840426.17,5419914.54,259543.61,1.52,1647038.75,148018.1,255799,7280.38,1235928.09,963874.71,272001.78,51.6,NA,NA
2019-01-27,1.03,43574809.65,14531449.87,11053096.21,830802.01,17159461.56,11231765.56,5628141.16,299554.84,1.46,1678523.73,216491.68,310078.04,4356.09,1147575.82,965651.15,181888.29,36.38,NA,NA
2019-02-03,0.84,62451514.93,19498919.53,17887806.52,1591800.19,23472988.69,15264523.33,7864297.23,344168.13,1.37,1586420.12,153985.93,253361.95,3674.58,1175379.83,942914.4,232460.89,4.54,NA,NA
2019-02-10,0.91,46702984.78,15056413.17,12025541.02,822702.28,18798328.31,12438637.18,6191152.14,168538.99,1.37,1686620.09,202717.7,273431.15,4411.75,1206037.05,1017143.31,188893.74,0,NA,NA
2019-02-17,0.96,42664975.38,13572742.16,11372877.41,1306103.02,16413252.79,10553827.08,5603664.7,255761.01,1.45,1410402.61,138610.38,232462.66,3433.61,1035769.26,909907.94,125818.97,42.35,NA,NA
2019-02-24,0.98,43682565.76,13423017.47,12170264.41,1038105.23,17051178.65,11676381.46,5110694.9,264102.29,1.45,1601041.51,137640.84,290983.74,4624.46,1167471.48,951857.58,215543.29,70.61,NA,NA
2019-03-03,1,44402424.87,14607958.6,11158680.97,972115.17,17663670.13,11608928.88,5702349.27,352391.98,1.42,1799342.61,167282.63,334637.98,3767.62,1293521.62,1102949.94,190564.14,7.54,NA,NA
2019-03-10,0.98,46192002.93,14299259.38,12096366.87,996823.67,18799553.01,12490684.42,5873048.32,435820.27,1.41,1657268.71,126515.71,265707.13,3863.8,1261110.1,1077389.81,183714.31,5.98,NA,NA
2019-03-17,0.94,48744675.54,15417243.07,11325570.49,1404434.49,20597427.49,13377154.27,6718343.2,501930.02,1.41,1672146.01,189563.89,347779.5,3366.12,1131334.38,960590.8,170576.11,167.47,NA,NA
2019-03-24,0.99,47068805.2,14147438.33,13174261.26,1014092.8,18733012.81,11981189.57,6380776.16,371047.08,1.38,1635692.23,154393.27,291309.66,26888.61,1163044.14,919387.48,243640.21,16.45,NA,NA
2019-03-31,0.99,45361322.61,13981629.12,11271303.41,1101105.72,19007284.36,11327599.95,7451904.67,227779.74,1.44,1529586.01,157661.25,294573.54,3063.73,1074187,817535.18,256647.32,4.5,NA,NA
2019-04-07,0.97,49306986.45,14218225.68,12998358.75,1493000.99,20597401.03,12949530.59,7288681.58,359188.86,1.47,1547624.35,183524.02,281682.51,3497.42,1078539.63,873257.97,205260.82,20.84,NA,NA
2019-04-14,1.05,45956798.68,13116578.64,12746906.95,1181613.53,18911699.56,12002214.73,6411537.42,497947.41,1.41,1855513.44,310297.88,410932.53,5813.06,1128177.12,857443.56,270718.74,14.82,NA,NA
2019-04-21,1.27,39009980.45,11457331.14,9683822.37,1076012.1,16792814.84,10656049.33,5768550.56,368214.95,1.7,1429845.48,157817.12,317961.48,4693.07,949314.83,691028.63,258272.92,13.28,NA,NA
2019-04-28,1.37,35223603.67,11547044.33,9044580,908429.44,13723549.9,8751301.61,4661547.01,310701.28,1.88,1274892.87,139548.72,256526.13,6059.11,872724.47,639092.02,233603.06,29.39,NA,NA
2019-05-05,1.22,49213686.42,15439382.06,13655551.28,1033255.45,19085497.63,11663445.5,6985234.27,436817.86,1.84,1318928.29,132697.25,259219.22,5305.08,921604.96,625592.39,296011.1,1.47,NA,NA
2019-05-12,1.24,43060975.95,13040337.96,11403251.69,890220.7,17726801.16,11266027.51,6092753.88,368019.77,1.73,1397668.77,118654.68,238669.68,5496.8,1034822.4,759614.49,275196.2,11.71,NA,NA
2019-05-19,1.29,38309262.36,11718599.78,10111448.55,909583.84,15569630.19,10410831.77,4907117.36,251681.06,1.77,1268229.11,116660.49,230157.55,4769.73,916565.76,756911.02,159637.18,17.56,NA,NA
2019-05-26,1.31,40514870.62,11623029.55,10706872.74,824382.07,17360586.26,10942409.29,6110523.23,307653.74,1.76,1467564.89,124635.45,246675.94,4532.34,1091367.21,853477.96,237727.68,161.57,NA,NA
2019-06-02,1.23,43111485.93,11420785.75,11004956.59,1002653.78,19683089.81,11094953.78,7743206.2,844929.83,1.59,1582369.82,135882.54,248081.41,4350.84,1193874.17,924950.32,268351.61,572.24,NA,NA
2019-06-09,1.22,43111833.62,11656650.13,11308618.81,825153.4,19321411.28,10846855.02,7806415.69,668140.57,1.63,1479448.63,117688.94,232232.17,5414.31,1123905.36,858291.35,265537.19,76.82,NA,NA
2019-06-16,1.32,39221437.21,10842298.19,10280896.51,816707.63,17281534.88,10407244.32,6314650.15,559640.41,1.76,1376954.68,122831.3,226798.49,7862.44,1019280.97,798123.87,221091.87,65.23,NA,NA
2019-07-14,1.47,34945476.94,9173282.84,9679713.58,754279.34,15338201.18,9764518.02,4958010.74,615672.42,1.99,1236969.18,106370.49,209820.63,5606.1,915082.38,667494.94,247562.25,25.19,NA,NA
