Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
West,Weekly,"2021-03-14 00:00:00",Organic,1.510712127,402627.82,84440.54,118279.95,904.87,199002.45,,,
"Total U.S.",Weekly,"2021-03-14 00:00:00",Organic,1.396657642,2381524.72,293080.50,382418.18,3739.56,1702286.49,,,
Albany,Weekly,"2021-03-21 00:00:00",Conventional,0.894597383,166741.04,13185.53,122041.18,255.50,31258.83,,,
Atlanta,Weekly,"2021-03-21 00:00:00",Conventional,0.927379187,915493.00,520347.62,160326.17,710.87,234108.34,,,
Baltimore/Washington,Weekly,"2021-03-21 00:00:00",Conventional,1.079294182,1327747.34,525114.72,323350.47,4000.66,475281.49,,,
Birmingham/Montgomery,Weekly,"2021-03-21 00:00:00",Conventional,0.902816036,392384.38,242293.81,16887.44,1047.17,132155.97,,,
Boise,Weekly,"2021-03-21 00:00:00",Conventional,1.112639396,119482.87,51544.91,25138.62,14685.52,28113.82,,,
Boston,Weekly,"2021-03-21 00:00:00",Conventional,1.354639392,697637.38,30680.72,481477.64,1555.76,183923.26,,,
Buffalo/Rochester,Weekly,"2021-03-21 00:00:00",Conventional,1.028882971,255671.63,58392.60,62856.69,3009.69,131412.64,,,
Charlotte,Weekly,"2021-03-21 00:00:00",Conventional,1.001897263,467451.77,220120.86,55669.87,5595.00,186066.04,,,
Chicago,Weekly,"2021-03-21 00:00:00",Conventional,1.101828360,1139164.21,451344.56,278442.32,101571.94,307805.39,,,
Cincinnati/Dayton,Weekly,"2021-03-21 00:00:00",Conventional,1.002049977,320269.08,113129.55,166471.43,914.51,39753.59,,,
Columbus,Weekly,"2021-03-21 00:00:00",Conventional,0.931295169,287642.36,111889.39,124577.19,652.02,50523.75,,,
"Dallas/Ft. Worth",Weekly,"2021-03-21 00:00:00",Conventional,0.776043290,1572227.45,690533.95,446516.67,32147.89,403028.94,,,
Denver,Weekly,"2021-03-21 00:00:00",Conventional,1.044767814,796517.70,220900.50,375167.75,25622.35,174827.10,,,
Detroit,Weekly,"2021-03-21 00:00:00",Conventional,1.055429036,482559.72,124251.39,195442.07,48323.47,114542.80,,,
"Grand Rapids",Weekly,"2021-03-21 00:00:00",Conventional,1.253955719,202763.76,36234.53,61114.56,54671.28,50743.39,,,
Harrisburg/Scranton,Weekly,"2021-03-21 00:00:00",Conventional,0.953895975,504968.59,208192.24,116409.22,1396.86,178970.28,,,
Hartford/Springfield,Weekly,"2021-03-21 00:00:00",Conventional,1.184056777,448864.16,43562.86,279940.00,653.01,124708.29,,,
Houston,Weekly,"2021-03-21 00:00:00",Conventional,0.711927298,1237457.72,612477.99,424097.23,5661.02,195221.48,,,
Indianapolis,Weekly,"2021-03-21 00:00:00",Conventional,0.934548477,293011.87,94835.13,131812.74,2621.12,63742.88,,,
Jacksonville,Weekly,"2021-03-21 00:00:00",Conventional,0.924811657,283747.69,188208.40,10402.59,463.05,84673.64,,,
"Las Vegas",Weekly,"2021-03-21 00:00:00",Conventional,0.868113372,468808.17,84504.15,254411.40,1587.16,128305.46,,,
"Los Angeles",Weekly,"2021-03-21 00:00:00",Conventional,1.148417300,3167729.48,1416632.35,334366.84,718858.37,697871.92,,,
Louisville,Weekly,"2021-03-21 00:00:00",Conventional,0.910986076,153630.51,53441.45,60232.39,139.39,39817.28,,,
"Miami/Ft. Lauderdale",Weekly,"2021-03-21 00:00:00",Conventional,0.942301203,1272209.50,867367.54,53302.83,2455.10,349084.04,,,
Nashville,Weekly,"2021-03-21 00:00:00",Conventional,0.939245613,338726.01,175788.34,65496.43,1325.84,96115.39,,,
"Northern New England",Weekly,"2021-03-21 00:00:00",Conventional,0.972552851,635051.75,21837.46,514829.22,489.89,97895.19,,,
"New Orleans/Mobile",Weekly,"2021-03-21 00:00:00",Conventional,0.823697714,343822.68,183156.66,22257.44,131.17,138277.41,,,
"New York",Weekly,"2021-03-21 00:00:00",Conventional,1.053976083,2750191.50,382541.65,1491130.45,21185.76,855333.65,,,
Orlando,Weekly,"2021-03-21 00:00:00",Conventional,0.871675344,753254.38,485253.02,16531.19,1474.10,249996.08,,,
Peoria/Springfield,Weekly,"2021-03-21 00:00:00",Conventional,0.899001530,172202.17,79646.71,40539.61,2187.64,49828.20,,,
Philadelphia,Weekly,"2021-03-21 00:00:00",Conventional,0.945185526,846197.45,266120.78,270435.11,1237.44,308404.12,,,
Phoenix/Tucson,Weekly,"2021-03-21 00:00:00",Conventional,0.738610003,1507081.06,525850.18,799027.95,7972.99,174229.95,,,
Pittsburgh,Weekly,"2021-03-21 00:00:00",Conventional,0.864971120,230580.48,120890.36,39357.06,480.62,69852.44,,,
Portland,Weekly,"2021-03-21 00:00:00",Conventional,1.173537542,644248.16,250652.88,279410.28,33154.64,81030.36,,,
Providence,Weekly,"2021-03-21 00:00:00",Conventional,1.408266195,108379.43,13621.07,69926.21,69.43,24762.72,,,
Raleigh/Greensboro,Weekly,"2021-03-21 00:00:00",Conventional,1.009431719,541714.13,266009.67,76081.48,4526.72,195096.26,,,
Richmond/Norfolk,Weekly,"2021-03-21 00:00:00",Conventional,0.970829875,393029.01,185203.32,107873.14,922.45,99030.11,,,
Roanoke,Weekly,"2021-03-21 00:00:00",Conventional,0.913427192,234239.38,124126.52,55852.69,94.37,54165.81,,,
Sacramento,Weekly,"2021-03-21 00:00:00",Conventional,1.411744766,445346.71,133815.71,190767.61,10095.94,110667.45,,,
"San Diego",Weekly,"2021-03-21 00:00:00",Conventional,1.195147947,547210.94,195040.26,128802.06,108042.18,115326.44,,,
"San Francisco",Weekly,"2021-03-21 00:00:00",Conventional,1.605958901,720802.09,135295.05,417363.77,12817.26,155326.01,,,
Seattle,Weekly,"2021-03-21 00:00:00",Conventional,1.357406192,595608.32,163048.03,353546.47,8558.03,70455.79,,,
"South Carolina",Weekly,"2021-03-21 00:00:00",Conventional,0.969603294,629274.17,348607.30,68209.94,1569.96,210886.97,,,
Spokane,Weekly,"2021-03-21 00:00:00",Conventional,1.118380617,91404.25,32611.82,43527.26,958.80,14306.38,,,
"St. Louis",Weekly,"2021-03-21 00:00:00",Conventional,0.841577715,273019.71,177142.07,15306.87,670.11,79900.66,,,
Syracuse,Weekly,"2021-03-21 00:00:00",Conventional,0.961808891,128746.09,27184.39,51328.17,830.26,49403.27,,,
Tampa,Weekly,"2021-03-21 00:00:00",Conventional,0.844344998,757867.88,514519.42,19066.59,1133.02,223148.84,,,
Toledo,Weekly,"2021-03-21 00:00:00",Conventional,0.917373915,157383.37,49687.48,71061.43,5439.99,31194.47,,,
"West Tex/New Mexico",Weekly,"2021-03-21 00:00:00",Conventional,0.764113941,1038402.34,420206.73,292268.05,14336.11,311591.45,,,
Wichita,Weekly,"2021-03-21 00:00:00",Conventional,0.796648163,120239.98,59861.36,26269.42,709.72,33399.48,,,
California,Weekly,"2021-03-21 00:00:00",Conventional,1.257142350,6153770.98,2300529.93,1573720.09,938541.78,1340979.18,,,
"Great Lakes",Weekly,"2021-03-21 00:00:00",Conventional,1.010236040,4841502.62,1740817.36,1674626.67,301136.15,1124922.43,,,
Midsouth,Weekly,"2021-03-21 00:00:00",Conventional,0.991803546,5053573.13,2339241.04,1095837.17,19411.26,1599083.65,,,
Northeast,Weekly,"2021-03-21 00:00:00",Conventional,1.055291788,7046521.32,1114042.01,3687532.05,13864.58,2231082.68,,,
Plains,Weekly,"2021-03-21 00:00:00",Conventional,0.880774401,2504212.59,1147056.02,607636.49,20648.96,728871.12,,,
"South Central",Weekly,"2021-03-21 00:00:00",Conventional,0.776158635,5954564.56,2793755.25,1381947.71,191041.31,1587820.28,,,
Southeast,Weekly,"2021-03-21 00:00:00",Conventional,0.911685607,6663789.27,4223464.21,459746.20,9072.48,1971506.38,,,
West,Weekly,"2021-03-21 00:00:00",Conventional,0.970485590,7286166.14,2515264.83,3293375.78,160530.16,1316995.36,,,
"Total U.S.",Weekly,"2021-03-21 00:00:00",Conventional,0.990004128,45504100.60,18174170.65,13774422.17,1654246.69,11901261.09,,,
Albany,Weekly,"2021-03-21 00:00:00",Organic,1.327954715,5312.60,229.58,303.23,27.23,4752.55,,,
Atlanta,Weekly,"2021-03-21 00:00:00",Organic,1.353747473,45756.34,723.96,18090.01,0.00,26942.37,,,
Baltimore/Washington,Weekly,"2021-03-21 00:00:00",Organic,1.077851419,115410.83,1166.60,5270.03,7.25,108966.95,,,
Birmingham/Montgomery,Weekly,"2021-03-21 00:00:00",Organic,1.272757476,13862.79,105.55,913.45,0.00,12843.79,,,
Boise,Weekly,"2021-03-21 00:00:00",Organic,1.536727208,7963.27,3.24,5112.00,2.29,2845.75,,,
Boston,Weekly,"2021-03-21 00:00:00",Organic,1.637336066,45329.60,252.75,2174.08,0.00,42902.77,,,
Buffalo/Rochester,Weekly,"2021-03-21 00:00:00",Organic,1.450804099,18949.90,875.09,116.14,5.12,17953.55,,,
Charlotte,Weekly,"2021-03-21 00:00:00",Organic,1.325285861,26870.91,269.47,4234.35,33.49,22333.61,,,
Chicago,Weekly,"2021-03-21 00:00:00",Organic,1.436976922,82884.73,12582.08,18622.15,0.00,51680.50,,,
Cincinnati/Dayton,Weekly,"2021-03-21 00:00:00",Organic,1.520404300,19042.94,1627.10,10957.81,0.00,6458.03,,,
Columbus,Weekly,"2021-03-21 00:00:00",Organic,1.438052639,13314.29,1405.02,4940.35,0.00,6968.92,,,
"Dallas/Ft. Worth",Weekly,"2021-03-21 00:00:00",Organic,1.207726469,59641.90,5942.67,7691.90,204.69,45802.64,,,
Denver,Weekly,"2021-03-21 00:00:00",Organic,1.388139267,42189.99,18000.58,1157.29,0.00,23032.12,,,
Detroit,Weekly,"2021-03-21 00:00:00",Organic,1.247938998,27781.12,1341.30,7132.25,0.00,19307.57,,,
"Grand Rapids",Weekly,"2021-03-21 00:00:00",Organic,1.143562009,10415.65,147.11,1187.78,0.00,9080.76,,,
Harrisburg/Scranton,Weekly,"2021-03-21 00:00:00",Organic,1.156316133,26880.52,334.47,392.42,0.00,26153.62,,,
Hartford/Springfield,Weekly,"2021-03-21 00:00:00",Organic,1.539285453,27023.98,471.64,5767.10,0.00,20785.23,,,
Houston,Weekly,"2021-03-21 00:00:00",Organic,1.375101018,22831.83,10871.96,900.15,0.00,11059.72,,,
Indianapolis,Weekly,"2021-03-21 00:00:00",Organic,1.376293348,10156.20,503.89,3309.25,0.00,6343.06,,,
Jacksonville,Weekly,"2021-03-21 00:00:00",Organic,1.341973975,13526.12,80.36,326.31,0.00,13119.45,,,
"Las Vegas",Weekly,"2021-03-21 00:00:00",Organic,1.326720653,16844.25,2575.37,3173.05,0.00,11095.83,,,
"Los Angeles",Weekly,"2021-03-21 00:00:00",Organic,1.589674553,178680.50,39062.00,31971.04,0.00,107647.47,,,
Louisville,Weekly,"2021-03-21 00:00:00",Organic,1.448363449,8615.50,427.67,4100.10,0.00,4087.72,,,
"Miami/Ft. Lauderdale",Weekly,"2021-03-21 00:00:00",Organic,1.166078072,69633.22,1010.47,982.80,0.00,67639.95,,,
Nashville,Weekly,"2021-03-21 00:00:00",Organic,1.320442468,22419.05,1066.09,5890.63,0.00,15462.33,,,
"Northern New England",Weekly,"2021-03-21 00:00:00",Organic,1.728717288,20793.86,1876.70,641.43,0.00,18275.72,,,
"New Orleans/Mobile",Weekly,"2021-03-21 00:00:00",Organic,1.034800504,15094.32,44.15,392.56,0.00,14657.60,,,
"New York",Weekly,"2021-03-21 00:00:00",Organic,1.500544125,133694.69,10900.08,12029.98,762.26,110002.36,,,
Orlando,Weekly,"2021-03-21 00:00:00",Organic,1.246466382,33462.10,230.77,154.35,0.00,33076.98,,,
Peoria/Springfield,Weekly,"2021-03-21 00:00:00",Organic,1.355135525,5810.15,100.45,1361.58,0.00,4348.12,,,
Philadelphia,Weekly,"2021-03-21 00:00:00",Organic,1.455491356,34335.82,1441.04,5536.12,0.00,27358.67,,,
Phoenix/Tucson,Weekly,"2021-03-21 00:00:00",Organic,1.239088136,31579.42,5486.58,5646.08,0.00,20446.76,,,
Pittsburgh,Weekly,"2021-03-21 00:00:00",Organic,1.284132122,16469.44,3050.69,1.99,0.00,13416.76,,,
Portland,Weekly,"2021-03-21 00:00:00",Organic,1.752717228,80698.25,2454.00,61831.88,0.00,16412.37,,,
Providence,Weekly,"2021-03-21 00:00:00",Organic,1.419395966,8101.26,40.63,18.39,0.00,8042.24,,,
Raleigh/Greensboro,Weekly,"2021-03-21 00:00:00",Organic,1.356058645,29490.89,813.19,4631.87,41.63,24004.20,,,
Richmond/Norfolk,Weekly,"2021-03-21 00:00:00",Organic,0.953048201,42889.87,445.58,4093.94,9.08,38341.27,,,
Roanoke,Weekly,"2021-03-21 00:00:00",Organic,1.077089183,19447.69,652.86,3431.84,0.00,15363.00,,,
Sacramento,Weekly,"2021-03-21 00:00:00",Organic,1.839530706,23340.42,5686.07,4307.27,0.00,13347.08,,,
"San Diego",Weekly,"2021-03-21 00:00:00",Organic,1.796186984,37694.38,6513.00,10890.16,0.00,20291.23,,,
"San Francisco",Weekly,"2021-03-21 00:00:00",Organic,1.892322968,76222.99,17371.46,8748.34,0.00,50103.20,,,
Seattle,Weekly,"2021-03-21 00:00:00",Organic,1.952198783,86977.54,6250.72,58992.25,3.24,21731.34,,,
"South Carolina",Weekly,"2021-03-21 00:00:00",Organic,1.329434405,34602.24,656.51,5986.45,36.97,27922.32,,,
Spokane,Weekly,"2021-03-21 00:00:00",Organic,1.741128694,6396.40,764.52,3410.29,0.00,2221.59,,,
"St. Louis",Weekly,"2021-03-21 00:00:00",Organic,1.113145166,18086.81,7242.28,1744.50,0.00,9100.04,,,
Syracuse,Weekly,"2021-03-21 00:00:00",Organic,1.454086481,6179.11,309.75,136.29,0.00,5733.06,,,
Tampa,Weekly,"2021-03-21 00:00:00",Organic,1.060626141,29966.82,148.33,121.80,0.00,29696.69,,,
Toledo,Weekly,"2021-03-21 00:00:00",Organic,1.305528478,6174.64,240.13,1973.38,0.00,3961.13,,,
"West Tex/New Mexico",Weekly,"2021-03-21 00:00:00",Organic,1.051416529,36062.69,2860.16,2006.50,1188.06,30007.96,,,
Wichita,Weekly,"2021-03-21 00:00:00",Organic,1.196020629,4407.68,1619.64,3.93,0.00,2784.12,,,
California,Weekly,"2021-03-21 00:00:00",Organic,1.721854294,381540.42,84464.48,69011.23,5.49,228059.22,,,
"Great Lakes",Weekly,"2021-03-21 00:00:00",Organic,1.376423747,239517.53,32012.78,58403.98,0.00,149100.77,,,
Midsouth,Weekly,"2021-03-21 00:00:00",Organic,1.175742318,366834.12,7268.77,52361.45,135.56,307068.34,,,
Northeast,Weekly,"2021-03-21 00:00:00",Organic,1.478519264,381657.16,24505.48,30999.99,1062.52,325089.17,,,
Plains,Weekly,"2021-03-21 00:00:00",Organic,1.243880682,76290.34,19354.67,5274.85,3.06,51657.75,,,
"South Central",Weekly,"2021-03-21 00:00:00",Organic,1.179297152,196309.95,22354.69,16441.60,1225.69,156287.97,,,
Southeast,Weekly,"2021-03-21 00:00:00",Organic,1.232265103,313004.95,4286.55,33426.08,100.57,275191.76,,,
West,Weekly,"2021-03-21 00:00:00",Organic,1.608915143,418260.57,63817.05,186448.39,894.94,167100.19,,,
"Total U.S.",Weekly,"2021-03-21 00:00:00",Organic,1.418748562,2373415.03,258064.48,452367.57,3427.83,1659555.16,,,
Albany,Weekly,"2021-03-28 00:00:00",Conventional,0.976159215,150504.96,17078.89,101513.98,420.13,31491.96,,,
Atlanta,Weekly,"2021-03-28 00:00:00",Conventional,1.009114111,882495.18,459410.82,176780.14,1759.42,244544.80,,,
Baltimore/Washington,Weekly,"2021-03-28 00:00:00",Conventional,1.133514462,1324113.90,407015.58,301870.54,4281.16,610946.61,,,
Birmingham/Montgomery,Weekly,"2021-03-28 00:00:00",Conventional,0.966833350,386262.45,233918.19,18625.15,1290.32,132428.80,,,
Boise,Weekly,"2021-03-28 00:00:00",Conventional,1.083485910,133661.84,62634.46,29136.71,12300.11,29590.55,,,
Boston,Weekly,"2021-03-28 00:00:00",Conventional,1.307663520,781718.11,36833.21,520643.27,995.84,223245.79,,,
Buffalo/Rochester,Weekly,"2021-03-28 00:00:00",Conventional,1.033608458,276450.84,65541.63,64334.33,2691.58,143883.31,,,
Charlotte,Weekly,"2021-03-28 00:00:00",Conventional,0.907136766,508827.75,215958.24,51824.16,4625.44,236419.91,,,
Chicago,Weekly,"2021-03-28 00:00:00",Conventional,1.233487866,1067704.65,410863.00,238982.97,112687.27,305171.40,,,
Cincinnati/Dayton,Weekly,"2021-03-28 00:00:00",Conventional,1.074133332,327134.09,105937.85,176783.54,905.48,43507.22,,,
Columbus,Weekly,"2021-03-28 00:00:00",Conventional,1.062312508,281306.91,98502.02,129070.79,564.43,53169.66,,,
"Dallas/Ft. Worth",Weekly,"2021-03-28 00:00:00",Conventional,0.882658702,1464830.60,653685.46,363653.32,15560.98,431930.84,,,
Denver,Weekly,"2021-03-28 00:00:00",Conventional,1.027126375,1082053.87,352431.07,468346.15,23866.00,237410.65,,,
Detroit,Weekly,"2021-03-28 00:00:00",Conventional,1.140075135,494892.81,121997.39,205682.47,37012.14,130200.82,,,
"Grand Rapids",Weekly,"2021-03-28 00:00:00",Conventional,1.317961175,197244.10,39004.51,53233.86,39910.93,65094.80,,,
Harrisburg/Scranton,Weekly,"2021-03-28 00:00:00",Conventional,0.973173031,510036.13,203473.78,115804.26,1362.67,189395.43,,,
Hartford/Springfield,Weekly,"2021-03-28 00:00:00",Conventional,1.220588896,463165.23,45833.14,271142.34,658.83,145530.93,,,
Houston,Weekly,"2021-03-28 00:00:00",Conventional,0.812152981,1176075.77,541704.39,422312.84,5819.27,206239.26,,,
Indianapolis,Weekly,"2021-03-28 00:00:00",Conventional,1.025752137,289768.77,91517.54,133256.32,1520.06,63474.85,,,
Jacksonville,Weekly,"2021-03-28 00:00:00",Conventional,0.968936676,276121.21,175495.98,9707.81,745.12,90172.30,,,
"Las Vegas",Weekly,"2021-03-28 00:00:00",Conventional,1.020846942,397670.91,79162.85,195076.82,320.90,123110.36,,,
"Los Angeles",Weekly,"2021-03-28 00:00:00",Conventional,1.100637166,3348676.15,1407004.79,499303.13,758190.26,684177.97,,,
Louisville,Weekly,"2021-03-28 00:00:00",Conventional,1.013030380,147034.66,42398.05,66165.84,304.45,38166.32,,,
"Miami/Ft. Lauderdale",Weekly,"2021-03-28 00:00:00",Conventional,0.964809487,1274148.39,842364.11,52699.66,1840.54,377244.09,,,
Nashville,Weekly,"2021-03-28 00:00:00",Conventional,0.983756692,339321.96,174120.47,64600.92,325.99,100274.58,,,
"Northern New England",Weekly,"2021-03-28 00:00:00",Conventional,1.092969146,537821.65,46578.56,394671.00,501.07,96071.02,,,
"New Orleans/Mobile",Weekly,"2021-03-28 00:00:00",Conventional,0.905340450,343326.42,181096.96,22653.99,1250.61,138324.86,,,
"New York",Weekly,"2021-03-28 00:00:00",Conventional,1.200397256,2573050.63,271270.55,1264385.15,19545.19,1017849.74,,,
Orlando,Weekly,"2021-03-28 00:00:00",Conventional,0.910946897,773786.27,474800.37,19398.10,2741.48,276846.32,,,
Peoria/Springfield,Weekly,"2021-03-28 00:00:00",Conventional,1.000567991,169105.00,75678.41,39934.27,2428.78,51063.54,,,
Philadelphia,Weekly,"2021-03-28 00:00:00",Conventional,1.019669507,823205.18,239093.08,250462.42,1657.58,331992.10,,,
Phoenix/Tucson,Weekly,"2021-03-28 00:00:00",Conventional,0.791109110,1411868.41,570476.75,654885.67,7348.03,179157.97,,,
Pittsburgh,Weekly,"2021-03-28 00:00:00",Conventional,0.938977469,208964.56,99448.33,16720.25,497.15,92298.84,,,
Portland,Weekly,"2021-03-28 00:00:00",Conventional,1.269850873,687098.99,254407.51,309308.79,37221.18,86161.51,,,
Providence,Weekly,"2021-03-28 00:00:00",Conventional,1.283626903,128366.35,14795.83,81105.71,58.01,32406.80,,,
Raleigh/Greensboro,Weekly,"2021-03-28 00:00:00",Conventional,0.919966270,580368.31,252247.31,68641.97,4639.49,254839.54,,,
Richmond/Norfolk,Weekly,"2021-03-28 00:00:00",Conventional,0.961598827,413301.16,182446.27,114148.40,960.06,115746.42,,,
Roanoke,Weekly,"2021-03-28 00:00:00",Conventional,0.971583859,233590.18,115999.23,59681.05,403.00,57506.90,,,
Sacramento,Weekly,"2021-03-28 00:00:00",Conventional,1.485194875,478214.35,155013.23,211534.68,10011.98,101654.46,,,
"San Diego",Weekly,"2021-03-28 00:00:00",Conventional,1.052053710,605396.56,180855.49,198384.32,111157.87,114998.88,,,
"San Francisco",Weekly,"2021-03-28 00:00:00",Conventional,1.603569778,767355.44,196322.84,405200.74,14747.26,151084.60,,,
Seattle,Weekly,"2021-03-28 00:00:00",Conventional,1.477107483,602764.60,177594.25,335827.35,5089.32,84253.68,,,
"South Carolina",Weekly,"2021-03-28 00:00:00",Conventional,0.974507568,657687.34,348163.83,71480.32,1610.70,236432.49,,,
Spokane,Weekly,"2021-03-28 00:00:00",Conventional,1.259240036,86857.40,32974.96,38616.28,264.35,15001.81,,,
"St. Louis",Weekly,"2021-03-28 00:00:00",Conventional,0.883968432,295305.71,179886.97,15908.50,916.91,98593.33,,,
Syracuse,Weekly,"2021-03-28 00:00:00",Conventional,1.012646388,126147.25,26121.62,47022.87,579.60,52423.16,,,
Tampa,Weekly,"2021-03-28 00:00:00",Conventional,0.897789911,755283.15,492114.86,19810.78,1276.80,242080.72,,,
Toledo,Weekly,"2021-03-28 00:00:00",Conventional,1.025975203,157335.89,43852.50,74811.62,4526.11,34145.66,,,
"West Tex/New Mexico",Weekly,"2021-03-28 00:00:00",Conventional,0.921824600,907101.08,388519.44,203595.45,7900.82,307085.37,,,
Wichita,Weekly,"2021-03-28 00:00:00",Conventional,0.893887682,121236.32,57847.92,27324.25,731.44,35332.71,,,
California,Weekly,"2021-03-28 00:00:00",Conventional,1.220973390,6543279.40,2407134.39,1841535.99,996865.22,1297743.80,,,
"Great Lakes",Weekly,"2021-03-28 00:00:00",Conventional,1.104880187,4706668.07,1606993.71,1624264.08,267934.07,1207476.21,,,
Midsouth,Weekly,"2021-03-28 00:00:00",Conventional,1.003216319,5159550.83,2135964.01,1084424.16,18722.91,1920439.75,,,
Northeast,Weekly,"2021-03-28 00:00:00",Conventional,1.124805052,7002989.54,1084159.76,3349671.81,13428.97,2555729.00,,,
Plains,Weekly,"2021-03-28 00:00:00",Conventional,1.004938351,2438758.32,1153789.47,476449.49,21728.59,786790.77,,,
"South Central",Weekly,"2021-03-28 00:00:00",Conventional,0.891562833,5522804.92,2648744.52,1156323.75,92634.82,1625101.83,,,
Southeast,Weekly,"2021-03-28 00:00:00",Conventional,0.956430659,6640167.99,4026454.23,492064.21,11410.77,2110238.79,,,
West,Weekly,"2021-03-28 00:00:00",Conventional,1.047660680,7502606.21,2753269.57,3178702.04,142456.44,1428178.15,,,
"Total U.S.",Weekly,"2021-03-28 00:00:00",Conventional,1.050784908,45516825.29,17816509.66,13203435.54,1565181.79,12931698.30,,,
Albany,Weekly,"2021-03-28 00:00:00",Organic,1.385961812,5241.64,226.78,366.86,0.00,4648.00,,,
Atlanta,Weekly,"2021-03-28 00:00:00",Organic,1.467121647,44952.64,3050.25,15240.43,0.00,26661.95,,,
Baltimore/Washington,Weekly,"2021-03-28 00:00:00",Organic,1.165084887,111149.57,1163.87,5327.29,3.11,104655.30,,,
Birmingham/Montgomery,Weekly,"2021-03-28 00:00:00",Organic,1.342922249,13979.07,240.47,915.21,0.00,12823.39,,,
Boise,Weekly,"2021-03-28 00:00:00",Organic,1.615349110,7541.67,61.12,4511.55,0.00,2969.01,,,
Boston,Weekly,"2021-03-28 00:00:00",Organic,1.670927760,40542.29,213.43,2685.08,0.00,37643.77,,,
Buffalo/Rochester,Weekly,"2021-03-28 00:00:00",Organic,1.410807510,17744.20,960.37,108.79,0.00,16675.04,,,
Charlotte,Weekly,"2021-03-28 00:00:00",Organic,1.469843891,24561.11,310.76,3947.62,32.50,20270.24,,,
Chicago,Weekly,"2021-03-28 00:00:00",Organic,1.454320761,66767.16,2183.03,20829.75,0.00,43754.38,,,
Cincinnati/Dayton,Weekly,"2021-03-28 00:00:00",Organic,1.474598401,18454.79,1166.99,10164.35,0.00,7123.45,,,
Columbus,Weekly,"2021-03-28 00:00:00",Organic,1.431410659,12320.84,1883.13,3762.75,0.00,6674.96,,,
"Dallas/Ft. Worth",Weekly,"2021-03-28 00:00:00",Organic,1.357090335,67137.76,7171.95,10573.37,331.17,49061.27,,,
Denver,Weekly,"2021-03-28 00:00:00",Organic,1.419618507,45888.23,19756.91,1224.52,0.00,24906.80,,,
Detroit,Weekly,"2021-03-28 00:00:00",Organic,1.102393613,34049.75,1828.77,5664.78,0.00,26556.20,,,
"Grand Rapids",Weekly,"2021-03-28 00:00:00",Organic,0.971387977,14636.73,103.90,881.20,0.00,13651.63,,,
Harrisburg/Scranton,Weekly,"2021-03-28 00:00:00",Organic,1.179666815,24801.60,226.08,376.03,0.00,24199.50,,,
Hartford/Springfield,Weekly,"2021-03-28 00:00:00",Organic,1.659238259,26128.39,488.68,7134.70,0.00,18505.00,,,
Houston,Weekly,"2021-03-28 00:00:00",Organic,1.429187156,21168.14,8506.88,1414.19,0.00,11247.07,,,
Indianapolis,Weekly,"2021-03-28 00:00:00",Organic,1.312518455,10997.11,326.17,3508.88,0.00,7162.06,,,
Jacksonville,Weekly,"2021-03-28 00:00:00",Organic,1.388958990,14223.61,68.53,342.52,0.00,13812.56,,,
"Las Vegas",Weekly,"2021-03-28 00:00:00",Organic,1.373382029,15940.36,1870.37,3261.18,0.00,10808.82,,,
"Los Angeles",Weekly,"2021-03-28 00:00:00",Organic,1.569545093,173089.75,31924.87,28054.48,6.36,113104.03,,,
Louisville,Weekly,"2021-03-28 00:00:00",Organic,1.419566115,7180.93,94.54,3304.14,0.00,3782.24,,,
"Miami/Ft. Lauderdale",Weekly,"2021-03-28 00:00:00",Organic,1.205005559,64211.66,1109.18,853.65,0.00,62248.83,,,
Nashville,Weekly,"2021-03-28 00:00:00",Organic,1.358832777,22635.35,164.11,6756.34,0.00,15714.90,,,
"Northern New England",Weekly,"2021-03-28 00:00:00",Organic,1.774737561,19302.20,1882.70,619.50,0.00,16800.00,,,
"New Orleans/Mobile",Weekly,"2021-03-28 00:00:00",Organic,1.137069591,15095.33,43.01,543.22,0.00,14509.09,,,
"New York",Weekly,"2021-03-28 00:00:00",Organic,1.549885695,127035.48,9104.21,11038.73,769.95,106122.58,,,
Orlando,Weekly,"2021-03-28 00:00:00",Organic,1.249772232,34621.43,196.71,122.85,0.00,34301.87,,,
Peoria/Springfield,Weekly,"2021-03-28 00:00:00",Organic,1.328711005,6548.65,145.45,1271.13,0.00,5132.06,,,
Philadelphia,Weekly,"2021-03-28 00:00:00",Organic,1.511064434,34376.03,1681.04,5151.46,0.00,27543.52,,,
Phoenix/Tucson,Weekly,"2021-03-28 00:00:00",Organic,1.272413746,37146.02,7936.76,5772.80,0.00,23436.46,,,
Pittsburgh,Weekly,"2021-03-28 00:00:00",Organic,1.278416329,16890.09,2508.78,1.99,0.00,14379.32,,,
Portland,Weekly,"2021-03-28 00:00:00",Organic,1.847151714,47087.55,982.84,30812.53,0.00,15292.18,,,
Providence,Weekly,"2021-03-28 00:00:00",Organic,1.411663727,6797.32,32.42,6.92,0.00,6757.97,,,
Raleigh/Greensboro,Weekly,"2021-03-28 00:00:00",Organic,1.478193633,27643.44,810.88,4065.95,36.31,22730.29,,,
Richmond/Norfolk,Weekly,"2021-03-28 00:00:00",Organic,0.962999078,44286.45,355.25,3146.29,3.03,40781.88,,,
