Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Boston,Weekly,"2023-01-15 00:00:00",Organic,1.700903657,35184.71,279.15,1721.81,0.00,33183.75,,,
Buffalo/Rochester,Weekly,"2023-01-15 00:00:00",Organic,1.510067279,15440.12,615.86,67.10,0.00,14757.15,,,
Charlotte,Weekly,"2023-01-15 00:00:00",Organic,1.330934077,25510.27,381.75,2298.79,27.86,22801.87,,,
Chicago,Weekly,"2023-01-15 00:00:00",Organic,1.368066149,77445.08,8847.83,32892.66,0.00,35704.59,,,
Cincinnati/Dayton,Weekly,"2023-01-15 00:00:00",Organic,1.411225241,17421.67,65.02,6886.53,0.00,10470.11,,,
Columbus,Weekly,"2023-01-15 00:00:00",Organic,1.642499194,12509.61,2243.37,2060.23,0.00,8206.01,,,
"Dallas/Ft. Worth",Weekly,"2023-01-15 00:00:00",Organic,1.157535239,54576.88,14042.73,914.96,0.00,39619.19,,,
Denver,Weekly,"2023-01-15 00:00:00",Organic,1.063785555,160848.78,140451.03,938.51,0.00,19459.24,,,
Detroit,Weekly,"2023-01-15 00:00:00",Organic,1.430501272,21310.69,555.27,4642.27,0.00,16113.15,,,
"Grand Rapids",Weekly,"2023-01-15 00:00:00",Organic,1.392237413,7385.88,149.17,654.06,0.00,6582.65,,,
Harrisburg/Scranton,Weekly,"2023-01-15 00:00:00",Organic,1.391437848,19071.51,411.57,477.53,0.00,18182.41,,,
Hartford/Springfield,Weekly,"2023-01-15 00:00:00",Organic,1.608736781,22294.75,669.11,3208.03,0.00,18417.61,,,
Houston,Weekly,"2023-01-15 00:00:00",Organic,0.981188177,35528.28,9941.78,361.08,0.00,25225.42,,,
Indianapolis,Weekly,"2023-01-15 00:00:00",Organic,1.371374245,12312.35,1446.53,2290.36,0.00,8575.45,,,
Jacksonville,Weekly,"2023-01-15 00:00:00",Organic,0.840001397,26753.96,206.39,337.39,0.00,26210.18,,,
"Las Vegas",Weekly,"2023-01-15 00:00:00",Organic,1.254002297,16998.88,4345.42,2875.74,0.00,9777.72,,,
"Los Angeles",Weekly,"2023-01-15 00:00:00",Organic,1.018326888,335878.85,244312.96,4609.48,3729.45,83226.96,,,
Louisville,Weekly,"2023-01-15 00:00:00",Organic,1.621533956,7574.25,1365.00,1611.54,0.00,4597.71,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-15 00:00:00",Organic,1.148873217,59213.29,2921.56,713.13,0.00,55578.61,,,
Nashville,Weekly,"2023-01-15 00:00:00",Organic,1.492864218,29420.17,8692.55,6486.00,0.00,14241.62,,,
"Northern New England",Weekly,"2023-01-15 00:00:00",Organic,1.928199893,14785.87,2282.77,276.86,0.00,12226.24,,,
"New Orleans/Mobile",Weekly,"2023-01-15 00:00:00",Organic,1.414327412,7613.87,291.28,171.68,0.00,7150.90,,,
"New York",Weekly,"2023-01-15 00:00:00",Organic,1.634898993,116991.60,11739.39,14960.45,410.88,89880.88,,,
Orlando,Weekly,"2023-01-15 00:00:00",Organic,0.901688442,58447.86,599.28,782.56,0.00,57066.02,,,
Peoria/Springfield,Weekly,"2023-01-15 00:00:00",Organic,1.218468065,7301.23,410.03,1087.80,0.00,5803.39,,,
Philadelphia,Weekly,"2023-01-15 00:00:00",Organic,1.409358460,33174.43,2004.50,2418.55,0.00,28751.38,,,
Phoenix/Tucson,Weekly,"2023-01-15 00:00:00",Organic,1.289953262,26138.52,8941.50,5845.55,0.00,11351.47,,,
Pittsburgh,Weekly,"2023-01-15 00:00:00",Organic,1.339998972,12264.08,1742.33,4.95,0.00,10516.79,,,
Portland,Weekly,"2023-01-15 00:00:00",Organic,1.766637545,81779.53,351.24,67151.10,0.00,14277.19,,,
